Date,Name,Year,Letterboxd URI,Rating
2023-08-30,The Nice Guys,2016,https://boxd.it/94Hg,3.5
2023-08-30,Goodnight Mommy,2022,https://boxd.it/uGgk,1.5
2023-08-30,What We Do in the Shadows,2014,https://boxd.it/7eQy,4.5
2023-09-28,Sidewalls,2011,https://boxd.it/2EiM,3
2023-09-29,Nightcrawler,2014,https://boxd.it/780m,4
2023-10-09,Talk to Me,2022,https://boxd.it/C6uQ,3.5
2023-10-17,All About My Mother,1999,https://boxd.it/2b9c,4.5
2023-10-22,Strange Way of Life,2023,https://boxd.it/Aomw,2.5
2023-10-25,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,3
2023-10-29,Killers of the Flower Moon,2023,https://boxd.it/gHp0,4
2023-10-31,Midnight in Paris,2011,https://boxd.it/i4a,3.5
2023-10-31,Forgotten,2017,https://boxd.it/hAJE,3
2023-11-01,Countdown,2019,https://boxd.it/m83K,1
2023-11-07,Saw II,2005,https://boxd.it/2aRs,4
2023-11-07,Saw,2004,https://boxd.it/2aWW,3
2023-11-11,The Motorcycle Diaries,2004,https://boxd.it/28nU,2.5
2023-11-11,After Earth,2013,https://boxd.it/2TSg,0.5
2023-11-11,The Last Airbender,2010,https://boxd.it/1WQK,0.5
2023-11-11,Old,2021,https://boxd.it/npKI,0.5
2023-11-13,When Evil Lurks,2023,https://boxd.it/rXBe,4.5
2023-12-09,The Killer,2023,https://boxd.it/u6WE,4
2023-12-17,Napoleon,2023,https://boxd.it/shJM,3
2023-12-24,Smile,2022,https://boxd.it/xjfE,3.5
2023-12-24,Barbarian,2022,https://boxd.it/yohi,3.5
2023-12-29,V/H/S/2,2013,https://boxd.it/4Ysw,3.5
2023-12-29,V/H/S,2012,https://boxd.it/2Y1c,1.5
2023-12-31,BEEF,2023,https://boxd.it/FPsm,4.5
2024-01-01,Nine Queens,2000,https://boxd.it/1HBA,4.5
2024-01-03,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/pZCY,3.5
2024-01-04,Leaving Neverland,2019,https://boxd.it/l53U,0.5
2024-01-07,Brick,2005,https://boxd.it/1Z6A,3
2024-01-09,Mommy Dead and Dearest,2017,https://boxd.it/fzs4,3
2024-01-21,Priscilla,2023,https://boxd.it/Cz3k,2
2024-01-22,Poor Things,2023,https://boxd.it/tNWU,4
2024-01-28,Being John Malkovich,1999,https://boxd.it/2ahu,4
2024-02-13,12 Angry Men,1957,https://boxd.it/2auI,5
2024-02-18,The Banshees of Inisherin,2022,https://boxd.it/p7XS,3.5
2024-02-22,The Worst Person in the World,2021,https://boxd.it/oyws,1.5
2024-02-28,Anatomy of a Fall,2023,https://boxd.it/yuDE,4
2024-03-21,The Holdovers,2023,https://boxd.it/vHza,4
2024-03-25,Mary and Max,2009,https://boxd.it/1y2m,4.5
2024-03-30,Infinity Pool,2023,https://boxd.it/oPSK,1.5
2024-04-01,Vengeance,2022,https://boxd.it/pu7U,3.5
2024-04-01,Mommy,2014,https://boxd.it/7Uau,3.5
2024-04-07,The Florida Project,2017,https://boxd.it/dMG0,4
2024-04-07,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,3
2024-04-07,Ghostland,2018,https://boxd.it/h5Uw,3.5
2024-04-08,Anomalisa,2015,https://boxd.it/97TE,3
2024-04-23,I Spit on Your Grave,2010,https://boxd.it/Tbs,0.5
2024-04-23,Scarface,1983,https://boxd.it/2b7g,4.5
2024-04-23,The Empire Strikes Back,1980,https://boxd.it/27Vw,4.5
2024-04-23,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4.5
2024-04-24,Rope,1948,https://boxd.it/28yo,4
2024-04-24,Eyes Wide Shut,1999,https://boxd.it/2axs,3.5
2024-05-10,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,3.5
2024-05-10,"South Park: Bigger, Longer & Uncut",1999,https://boxd.it/1YAO,4.5
2024-05-10,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3.5
2024-05-10,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,4.5
