Date,Name,Year,Letterboxd URI
2026-07-21,Tampopo,1985,https://boxd.it/1SZe
2026-07-21,Shin Kamen Rider,2023,https://boxd.it/uDlw
2026-07-21,Godzilla vs. Hedorah,1971,https://boxd.it/13C4
2026-07-21,Cromartie High School,2003,https://boxd.it/qMF8
2026-07-21,I Am Cuba,1964,https://boxd.it/1hUQ
2026-07-24,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy
2026-07-24,Milk,2008,https://boxd.it/1WZC
2026-07-27,Kamikaze Girls,2004,https://boxd.it/1ucC
2026-07-27,Braindead,1992,https://boxd.it/29Gy
2026-07-27,Pink Flamingos,1972,https://boxd.it/29NO
2026-08-01,I Want Your Sex,2026,https://boxd.it/N8by
2026-08-01,undertone,2025,https://boxd.it/UXeM
2026-08-01,Blue Spring,2001,https://boxd.it/1fIo
2026-08-02,Fireworks,1997,https://boxd.it/22mQ
2026-08-04,The Point,1971,https://boxd.it/1z52
2026-08-04,Punishment Park,1971,https://boxd.it/1tJK
2026-08-04,One Million Yen Girl,2008,https://boxd.it/2h5K
2026-08-04,The Boxer's Omen,1983,https://boxd.it/Gx6
2026-08-05,Captain Fantastic,2016,https://boxd.it/b2K2
2026-08-05,Gummo,1997,https://boxd.it/1H0Y
2026-08-06,Son of the Bride,2001,https://boxd.it/1F58
2026-08-08,Bring Me the Head of Alfredo Garcia,1974,https://boxd.it/1SIs
2026-08-09,Pleasantville,1998,https://boxd.it/26uY
2026-08-10,District 9,2009,https://boxd.it/1Iik
2026-08-11,The Official Story,1985,https://boxd.it/1nS2
2026-08-18,On the Beach at Night Alone,2017,https://boxd.it/fqEK
2026-08-21,Dogs Don't Wear Pants,2019,https://boxd.it/j42i
